Date,^GSPC,XOM,CVX,COP,EOG,OXY,CrudeOil
2014-12-31,2058.89990234375,75.13027954101562,90.37129974365234,59.83650588989258,87.27593231201172,61.5501594543457,53.27
2015-01-02,2058.199951171875,75.43907928466797,90.69355010986328,59.71520233154297,87.43707275390625,61.5806999206543,52.69
2015-01-05,2020.5799560546875,73.37493133544922,87.06838989257812,56.873268127441406,82.16657257080078,59.297672271728516,50.04
2015-01-06,2002.6099853515625,72.98484802246094,87.0280990600586,54.525211334228516,79.8251953125,58.79371643066406,47.93
2015-01-07,2025.9000244140625,73.72437286376953,86.95559692382812,54.889122009277344,79.32279205322266,58.80135726928711,48.65
2015-01-08,2062.139892578125,74.95149993896484,88.9454116821289,56.25809860229492,82.35616302490234,59.32058334350586,48.79
2015-01-09,2044.81005859375,74.84584045410156,87.17308807373047,56.24944305419922,82.90596008300781,59.20604705810547,48.36
2015-01-12,2028.260009765625,73.40745544433594,85.29607391357422,54.646514892578125,80.10956573486328,57.22843933105469,46.07
2015-01-13,2023.030029296875,73.1392822265625,83.9426498413086,54.10066223144531,80.63091278076172,57.243717193603516,45.89
2015-01-14,2011.27001953125,72.92798614501953,83.70100402832031,54.256622314453125,83.33547973632812,57.63312911987305,48.48
2015-01-15,1992.6700439453125,72.29409790039062,82.71012115478516,53.208221435546875,82.18622589111328,58.022552490234375,46.25
2015-01-16,2019.4200439453125,74.0494613647461,84.6838150024414,54.655181884765625,85.77647399902344,59.60309982299805,48.69
2015-01-20,2022.550048828125,74.02508544921875,85.77139282226562,54.750492095947266,84.8456802368164,59.56490707397461,46.39
2015-01-21,2032.1199951171875,74.658935546875,87.13282775878906,55.9201774597168,85.99492645263672,60.50408172607422,47.78
2015-01-22,2063.14990234375,75.47158813476562,87.74507141113281,56.57868194580078,85.823974609375,60.213932037353516,46.31
2015-01-23,2051.820068359375,73.86253356933594,86.0774917602539,56.0155029296875,86.23237609863281,60.20629119873047,45.59
2015-01-26,2057.090087890625,74.56953430175781,87.71284484863281,57.02923583984375,87.69507598876953,61.3287353515625,45.15
2015-01-27,2029.550048828125,73.91130828857422,87.21337890625,56.7866325378418,88.33143615722656,60.63390350341797,46.23
2015-01-28,2002.1600341796875,71.47332000732422,83.54792785644531,54.22195816040039,83.67741394042969,58.41196060180664,44.45
2015-01-29,2021.25,71.17263793945312,82.9759750366211,54.429908752441406,84.4467544555664,59.79397201538086,44.53
2015-01-30,1994.989990234375,71.04259490966797,82.59733581542969,54.568546295166016,84.56072998046875,61.084388732910156,48.24
2015-02-02,2020.8499755859375,72.79793548583984,85.44107818603516,56.985904693603516,87.87553405761719,61.2065544128418,49.57
2015-02-03,2050.030029296875,74.9677505493164,88.2364730834961,58.69279861450195,91.47528076171875,62.72602462768555,53.05
2015-02-04,2041.510009765625,74.32573699951172,87.285888671875,57.07255935668945,90.41151428222656,61.733402252197266,48.45
2015-02-05,2062.52001953125,75.05713653564453,88.05924987792969,58.54550552368164,91.36129760742188,62.70314025878906,50.48
2015-02-06,2055.469970703125,74.9179458618164,88.30093383789062,58.47618103027344,90.98136138916016,62.420597076416016,51.69
2015-02-09,2046.739990234375,74.9670639038086,88.96150970458984,58.788108825683594,91.13334655761719,62.04648208618164,52.86
2015-02-10,2068.590087890625,74.5167465209961,88.76011657714844,58.909427642822266,90.47799682617188,62.08464813232422,50.02
2015-02-11,2068.530029296875,74.18104553222656,88.5989990234375,58.81410217285156,88.5213851928711,61.069114685058594,48.84
2015-02-12,2088.47998046875,75.63027954101562,90.18534851074219,59.5936279296875,90.04106903076172,62.64203643798828,51.21
2015-02-13,2096.989990234375,76.44905853271484,91.74726867675781,61.2051887512207,92.0546646118164,63.45905685424805,52.78
2015-02-17,2100.340087890625,76.18704986572266,91.43814086914062,60.84612274169922,91.646240234375,63.01620101928711,53.53
2015-02-18,2099.679931640625,74.5167465209961,89.84365844726562,59.32211685180664,90.52546691894531,62.130462646484375,52.14
2015-02-19,2097.449951171875,73.23128509521484,88.14344024658203,59.05058288574219,89.09129333496094,61.5501594543457,51.16
2015-02-20,2110.300048828125,73.62428283691406,88.3468017578125,59.01555633544922,86.50784301757812,61.16074752807617,50.34
2015-02-23,2109.659912109375,72.87919616699219,87.74481964111328,58.612648010253906,87.31515502929688,60.93168258666992,49.45
2015-02-24,2115.47998046875,73.21488952636719,87.82615661621094,58.761558532714844,87.01121520996094,60.89350509643555,49.28
2015-02-25,2113.860107421875,73.36226654052734,88.3305435180664,59.14692306518555,88.35993957519531,61.24474334716797,50.99
2015-02-26,2110.739990234375,72.58442687988281,87.09400177001953,57.675479888916016,85.6054916381836,59.80160903930664,48.17
2015-02-27,2104.5,72.49436950683594,86.78488159179688,57.10616683959961,85.21607971191406,59.465667724609375,49.76
2015-03-02,2117.389892578125,72.0849838256836,86.15033721923828,56.40549087524414,84.58922576904297,59.35875701904297,49.59
2015-03-03,2107.780029296875,71.74110412597656,85.5483627319336,56.738304138183594,85.83346557617188,59.56490707397461,50.52
2015-03-04,2098.530029296875,71.38085174560547,85.5483627319336,56.274105072021484,85.94743347167969,59.80925750732422,51.53
2015-03-05,2101.0400390625,71.02056884765625,85.19853210449219,55.46830749511719,85.0926284790039,59.16786575317383,50.76
2015-03-06,2071.260009765625,70.11174011230469,84.23860168457031,54.99534606933594,84.12381744384766,57.627357482910156,49.61
2015-03-09,2079.429931640625,69.7269058227539,84.56399536132812,54.27714538574219,83.31649017333984,57.650482177734375,50.0
