Date,Nasdaq,Eurostoxx,Nikkei
2015-04-27,4525.0400390625,3771.449951171875,19983.3203125
2015-04-28,4515.27001953125,3715.419921875,20058.94921875
2015-04-30,4414.25,3615.590087890625,19520.009765625
2015-05-07,4401.5498046875,3556.2099609375,19291.990234375
2015-05-08,4458.64990234375,3649.47998046875,19379.189453125
2015-05-11,4438.64013671875,3624.409912109375,19620.91015625
2015-05-12,4420.64990234375,3573.10009765625,19624.83984375
2015-05-13,4426.56005859375,3553.419921875,19764.720703125
2015-05-15,4494.2900390625,3573.070068359375,19732.919921875
2015-05-18,4512.9501953125,3589.219970703125,19890.26953125
2015-05-19,4503.72021484375,3670.52001953125,20026.380859375
2015-05-20,4505.2998046875,3683.47998046875,20196.560546875
2015-05-21,4529.47021484375,3688.719970703125,20202.869140625
2015-05-22,4527.16015625,3679.139892578125,20264.41015625
2015-05-26,4472.9599609375,3619.300048828125,20437.48046875
2015-05-27,4546.06005859375,3682.8701171875,20472.580078125
2015-05-28,4535.66015625,3650.7099609375,20551.4609375
2015-05-29,4508.25,3570.780029296875,20563.150390625
2015-06-01,4521.85009765625,3575.0400390625,20569.869140625
2015-06-02,4508.89013671875,3561.889892578125,20543.189453125
2015-06-03,4519.85986328125,3583.820068359375,20473.509765625
2015-06-04,4487.02978515625,3556.3798828125,20488.189453125
2015-06-05,4477.18994140625,3510.010009765625,20460.900390625
2015-06-08,4431.509765625,3468.31005859375,20457.189453125
2015-06-09,4427.60986328125,3456.7900390625,20096.30078125
2015-06-10,4485.4599609375,3526.47998046875,20046.359375
2015-06-11,4488.47021484375,3551.909912109375,20382.970703125
2015-06-12,4453.7900390625,3502.77001953125,20407.080078125
2015-06-15,4432.919921875,3438.070068359375,20387.7890625
2015-06-16,4455.89990234375,3454.090087890625,20257.939453125
2015-06-17,4468.97998046875,3428.760009765625,20219.26953125
2015-06-18,4531.85009765625,3450.449951171875,19990.8203125
2015-06-19,4513.419921875,3455.800048828125,20174.240234375
2015-06-22,4544.0400390625,3596.070068359375,20428.189453125
2015-06-23,4548.740234375,3625.969970703125,20809.419921875
2015-06-24,4524.60009765625,3610.949951171875,20868.029296875
2015-06-25,4514.009765625,3610.909912109375,20771.400390625
2015-06-26,4484.27978515625,3621.3701171875,20706.150390625
2015-06-29,4379.8701171875,3468.89990234375,20109.94921875
2015-06-30,4396.759765625,3424.300048828125,20235.73046875
2015-07-01,4429.22998046875,3496.280029296875,20329.3203125
2015-07-02,4433.39013671875,3463.25,20522.5
2015-07-06,4418.66015625,3365.199951171875,20112.119140625
2015-07-07,4429.06005859375,3294.18994140625,20376.58984375
2015-07-08,4351.580078125,3327.5,19737.640625
2015-07-09,4352.02978515625,3420.030029296875,19855.5
2015-07-10,4420.14990234375,3528.81005859375,19779.830078125
2015-07-13,4494.47021484375,3590.429931640625,20089.76953125
2015-07-14,4523.47021484375,3607.18994140625,20385.330078125
2015-07-15,4528.35986328125,3623.8701171875,20463.330078125
2015-07-16,4594.89990234375,3676.409912109375,20600.119140625
2015-07-17,4661.60009765625,3670.340087890625,20650.919921875
2015-07-21,4674.41015625,3647.9599609375,20841.970703125
2015-07-22,4623.240234375,3635.580078125,20593.669921875
2015-07-23,4602.830078125,3634.639892578125,20683.94921875
2015-07-24,4557.3701171875,3600.0,20544.529296875
2015-07-27,4519.08984375,3513.10009765625,20350.099609375
2015-07-28,4560.22998046875,3554.110107421875,20328.890625
2015-07-29,4581.60009765625,3575.530029296875,20302.91015625
2015-07-30,4598.58984375,3583.7900390625,20522.830078125
2015-07-31,4588.91015625,3600.68994140625,20585.240234375
2015-08-03,4580.4599609375,3635.39990234375,20548.109375
2015-08-04,4567.47021484375,3619.31005859375,20520.359375
2015-08-05,4602.240234375,3676.75,20614.060546875
2015-08-06,4528.509765625,3668.469970703125,20664.439453125
2015-08-07,4520.080078125,3637.800048828125,20724.560546875
2015-08-10,4573.10986328125,3674.93994140625,20808.689453125
2015-08-12,4528.18994140625,3484.409912109375,20392.76953125
2015-08-17,4566.3701171875,3497.89990234375,20620.259765625
2015-08-19,4510.89990234375,3429.840087890625,20222.630859375
2015-08-20,4385.1298828125,3353.47998046875,20033.51953125
2015-08-21,4197.27001953125,3247.260009765625,19435.830078125
2015-08-24,4038.60009765625,3073.389892578125,18540.6796875
2015-08-25,4016.320068359375,3218.010009765625,17806.69921875
2015-08-26,4219.60009765625,3170.72998046875,18376.830078125
2015-08-27,4324.81982421875,3280.780029296875,18574.439453125
2015-08-28,4329.1201171875,3286.590087890625,19136.3203125
2015-08-31,4274.580078125,3269.6298828125,18890.48046875
2015-09-01,4142.6298828125,3188.72998046875,18165.689453125
2015-09-02,4256.22998046875,3198.860107421875,18095.400390625
2015-09-03,4234.64990234375,3270.090087890625,18182.390625
2015-09-04,4184.72021484375,3180.25,17792.16015625
2015-09-08,4303.52978515625,3233.840087890625,17427.080078125
2015-09-10,4296.2998046875,3221.139892578125,18299.619140625
2015-09-11,4323.22998046875,3187.93994140625,18264.220703125
2015-09-14,4308.759765625,3175.6201171875,17965.69921875
2015-09-15,4360.27978515625,3207.60009765625,18026.48046875
2015-09-16,4383.669921875,3251.7900390625,18171.599609375
2015-09-17,4384.9599609375,3255.7900390625,18432.26953125
2015-09-18,4323.85986328125,3157.300048828125,18070.2109375
2015-09-24,4261.10009765625,3019.340087890625,17571.830078125
2015-09-25,4224.740234375,3113.159912109375,17880.509765625
2015-09-28,4103.47021484375,3039.43994140625,17645.109375
2015-09-29,4083.3701171875,3029.860107421875,16930.83984375
